Make,Model,Year,Km,Transmission,Fuel,Price
Chevrolet,T-Series,2007,"400,000",manual,gas,"205,000"
Opel,Astra,2018,"130,000",automatic,gas,"470,000"
Hyundai,Elantra HD,2021,"76,000",automatic,gas,"530,000"
Kia,Cerato,2016,"110,000",automatic,gas,"450,000"
Nissan,Pick up,2011,"350,000",manual,diesel,"200,000"
Nissan,Sunny,2013,"106,000",automatic,gas,"270,000"
Mitsubishi,Lancer EX Shark,2014,"139,000",automatic,gas,"370,000"
Kia,Cerato,2018,"49,000",automatic,gas,"590,000"
Skoda,Octavia A5,2005,"295,000",manual,gas,"220,000"
Mitsubishi,Lancer Puma,2008,"223,000",automatic,gas,"245,000"
Toyota,Rush,2022,"19,000",automatic,gas,"750,000"
Hyundai,I10,2009,"169,000",manual,gas,"157,000"
Kia,Soul,2010,"86,000",automatic,gas,"380,000"
Speranza,A516,2011,"143,000",manual,gas,"130,000"
Toyota,Corolla,2007,"188,000",automatic,gas,"315,000"
Chevrolet,Lanos,2010,"150,000",manual,gas,"135,000"
Lada,Granta,2021,"93,000",manual,gas,"216,000"
Renault,Kadjar,2022,"28,000",automatic,gas,"860,000"
Kia,Saipa,2014,"65,000",manual,gas,"130,000"
Kia,Cerato,2017,"100,000",automatic,gas,"475,000"
Kia,Cerato,2010,"186,000",automatic,gas,"310,000"
BMW,740,1998,"250,000",automatic,gas,"250,000"
Mitsubishi,Lancer EX Shark,2016,"14,000",automatic,gas,"450,000"
Hyundai,Avante,2008,"100,000",automatic,gas,"250,000"
Land Rover,Velar,2022,0,automatic,gas,"3,500,000"
Opel,Vectra,2007,"159,000",automatic,gas,"270,000"
Brilliance,FRV,2009,"100,000",manual,gas,"150,000"
Kia,Soul,2010,"162,000",automatic,gas,"420,000"
Skoda,Favorit,1994,"150,000",manual,gas,"40,000"
Kia,Spectra,2001,"200,000",automatic,gas,"185,000"
Fiat,127,1985,0,manual,gas,"30,000"
Land Rover,Velar,2020,"15,000",automatic,gas,"3,000,000"
Mitsubishi,Lancer Puma,2008,"150,000",automatic,gas,"235,000"
Opel,Corsa,2005,"165,000",automatic,gas,"175,000"
BMW,116,2006,"180,000",manual,gas,"350,000"
Hyundai,Accent RB,2022,"18,000",automatic,gas,"460,000"
Fiat,128,1986,0,automatic,gas,"24,000"
Brilliance,Galena,2011,"100,000",automatic,gas,"148,000"
Hyundai,Accent RB,2011,"100,000",automatic,gas,"285,000"
Mercedes,CLA 180,2016,"90,000",automatic,gas,"1,250,000"
Chevrolet,Aveo,2020,"32,000",automatic,gas,"345,000"
Hyundai,Tucson Turbo GDI || Tucson Turbo,2019,"46,000",automatic,gas,"940,000"
Hyundai,Verna,2013,"200,000",manual,natural gas,"180,000"
Chevrolet,Optra,2011,"125,000",automatic,gas,"245,000"
Chevrolet,Aveo,2014,"145,000",manual,gas,"195,000"
Suzuki,Pickup,2015,"97,000",manual,gas,"135,000"
Kia,Ceed,2017,"190,000",automatic,gas,"360,000"
Nissan,Sunny,2022,"34,000",automatic,gas,"390,000"
Opel,Astra,2019,"79,000",automatic,gas,"510,000"
Chery,Tiggo 7,2022,"15,000",automatic,gas,"610,000"
Hyundai,Tucson GDI,2019,"140,000",automatic,gas,"650,000"
Hyundai,Bayon,2022,"11,000",automatic,gas,"650,000"
Mitsubishi,Eclipse,2018,"44,000",automatic,gas,"650,000"
Seat,Ibiza,2009,"103,000",automatic,gas,"185,000"
Chevrolet,Optra,2012,"80,000",automatic,gas,"280,000"
Peugeot,405,1989,"300,000",manual,gas,"60,000"
Toyota,Corolla,2022,600,automatic,gas,"830,000"
Mercedes,CLA 200,2023,500,automatic,gas,"2,200,000"
Skoda,Superb,2021,"71,000",automatic,gas,"1,200,000"
Mitsubishi,Lancer Crystala,1999,"290,000",manual,gas,"130,000"
Hyundai,Elantra MD,2015,"270,000",automatic,gas,"450,000"
Chevrolet,Optra,2014,"120,000",automatic,gas,"285,000"
Kia,Rio,2014,"130,000",automatic,gas,"380,000"
Nissan,Sunny,2019,"150,000",automatic,gas,"325,000"
Chevrolet,Aveo,2008,"220,000",manual,gas,"130,000"
MG,5,2021,"60,000",automatic,gas,"450,000"
Chevrolet,Lanos,2013,"114,000",automatic,gas,"188,000"
Mitsubishi,Eclipse Cross,2018,"66,000",automatic,gas,"670,000"
Mitsubishi,Lancer Puma,2014,"85,000",automatic,gas,"335,000"
Renault,Logan,2013,"113,000",automatic,gas,"195,000"
Seat,Ibiza,2021,"38,000",automatic,gas,"565,000"
Renault,Logan,2018,"200,000",manual,gas,"260,000"
Chevrolet,N200,2010,0,manual,gas,"110,000"
Daewoo,Nubira 2,2005,"119,000",automatic,gas,"148,000"
Mercedes,C 180,2022,700,automatic,gas,"2,250,000"
Toyota,Fortuner,2022,"40,000",automatic,gas,"2,200,000"
Daewoo,Nubira 2,2004,"240,000",automatic,gas,"140,000"
Honda,Civic,2008,"280,000",automatic,gas,"360,000"
Hyundai,Elantra HD,2019,"80,000",automatic,gas,"380,000"
Mercedes,E 250,2010,"80,000",automatic,gas,"950,000"
Nissan,Sunny,2023,"3,500",automatic,gas,"480,000"
Geely,Emgrand,2015,0,automatic,gas,"170,000"
Mercedes,B 180,2021,"42,000",automatic,gas,"1,550,000"
Speranza,A516,2009,"160,000",manual,gas,"125,000"
Nissan,Pick up,2015,"142,000",manual,diesel,"300,000"
MG,5,2021,"71,000",automatic,gas,"450,000"
Nissan,Sunny,2023,"10,000",automatic,gas,"440,000"
Kia,Cerato,2010,"172,000",manual,gas,"290,000"
Kia,Cerato,2011,"128,000",automatic,gas,"350,000"
Haima,S5,2018,"36,000",automatic,gas,"410,000"
Chevrolet,Cruze,2016,"120,000",automatic,gas,"345,000"
Suzuki,Van,2016,"62,000",manual,gas,"150,000"
Kia,Cerato,2017,"100,000",automatic,gas,"415,000"
Hyundai,Accent,2011,"145,000",automatic,gas,"295,000"
Volkswagen,Suran,2003,"230,000",automatic,gas,"200,000"
Mitsubishi,Lancer EX Shark,2008,"128,000",automatic,gas,"300,000"
MG,ZS,2019,"52,000",automatic,gas,"480,000"
Suzuki,Alto,2007,"150,000",manual,gas,"85,000"
Geely,Emgrand 7,2018,"200,000",manual,gas,"200,000"
Mitsubishi,Lancer EX Shark,2016,"120,000",automatic,gas,"375,000"
Byd,F3,2022,"4,000",automatic,gas,"349,000"
BMW,316,2010,"230,000",automatic,gas,"400,000"
Hyundai,Verna,2016,"140,000",manual,gas,"220,000"
Mitsubishi,Lancer EX Shark,2013,"230,000",automatic,gas,"325,000"
Peugeot,3008,2021,"8,000",automatic,gas,"1,550,000"
Citroën,C Elysee,2022,"14,000",automatic,gas,"460,000"
Nissan,Sunny,2022,"29,000",automatic,gas,"385,000"
DFSK,330S,2022,"56,000",manual,gas,"360,000"
Skoda,Kodiaq,2019,"57,000",automatic,gas,"1,200,000"
Peugeot,405,1998,"200,000",automatic,gas,"140,000"
Hyundai,Tucson Turbo GDI || Tucson Turbo,2022,"5,000",automatic,gas,"1,130,000"
Skoda,Octavia A5,2009,"321,500",automatic,gas,"290,000"
Proton,Gen 2,2015,"190,000",automatic,gas,"290,000"
Renault,Fluence,2014,"174,000",automatic,gas,"310,000"
Chevrolet,Aveo,2019,"123,000",automatic,gas,"318,000"
Suzuki,Swift Dzire || Dzire,2022,"59,000",automatic,natural gas,"385,000"
Hyundai,Excel,1996,"200,000",manual,gas,"65,000"
Zotye,Z100,2020,"16,000",manual,gas,"175,000"
Skoda,Octavia A8,2021,"20,000",automatic,gas,"930,000"
Toyota,Corolla,1994,0,manual,gas,"130,000"
Toyota,Yaris,2007,"120,000",automatic,gas,"190,000"
Fiat,Petra,2003,"200,000",manual,gas,"110,000"
Renault,Logan,2022,"40,000",automatic,gas,"400,000"
Daihatsu,Grand terios,2008,"180,000",automatic,gas,"330,000"
Hyundai,Elantra MD,2012,"127,000",automatic,gas,"350,000"
Mitsubishi,Lancer Crystala,1997,"570,000",manual,gas,"100,000"
Geely,Emgrand 7,2015,"280,000",manual,natural gas,"165,000"
Mitsubishi,Lancer Puma,2008,"190,000",manual,gas,"200,000"
Mercedes,C 280,2009,"160,000",automatic,gas,"575,000"
Skoda,Fantasia,2010,"135,000",automatic,gas,"385,000"
Skoda,Fabia,2004,"125,000",automatic,gas,"175,000"
Mitsubishi,Lancer EX Shark,2015,"180,000",automatic,gas,"420,000"
Fiat,128,1979,"100,000",manual,gas,"25,000"
Nissan,Sunny,2018,"63,000",automatic,gas,"320,000"
Toyota,Corolla,2022,"70,000",automatic,gas,"820,000"
Nissan,Sunny,2022,"28,000",automatic,gas,"400,000"
Senova,A1,2015,"131,000",automatic,gas,"205,000"
Lancia,Dedra,1993,"100,000",manual,gas,"70,000"
Alfa Romeo,Giulietta,2015,"192,000",automatic,gas,"550,000"
Hyundai,Bayon,2022,"27,000",automatic,gas,"700,000"
Peugeot,307,2015,"175,000",automatic,gas,"305,000"
Nissan,Sunny,2021,"68,000",automatic,gas,"385,000"
Nissan,Sunny,2020,"50,000",automatic,gas,"365,000"
Renault,Duster,2019,"74,000",automatic,gas,"489,000"
Chery,Arrizo 5,2022,"40,000",automatic,gas,"360,000"
Chery,Arrizo 5,2020,"60,000",automatic,gas,"330,000"
Chevrolet,Lanos,2010,"230,000",manual,gas,"117,000"
Seat,Arona,2019,"70,000",automatic,gas,"700,000"
Volkswagen,Tiguan,2016,"165,000",automatic,gas,"730,000"
Hyundai,Accent,2019,"160,000",automatic,gas,"380,000"
Skoda,Octavia A8,2021,"30,000",automatic,gas,"1,050,000"
Hyundai,Accent RB,2021,"46,500",automatic,gas,"420,000"
Daewoo,Lanos,1999,"220,000",manual,Hybrid,"128,000"
Opel,Astra,2018,"91,000",automatic,gas,"535,000"
Chevrolet,Optra,2017,"85,000",automatic,gas,"240,000"
Kia,Picanto,2017,"130,000",automatic,gas,"325,000"
Chrysler,Voyager,1998,"200,000",automatic,gas,"125,000"
Hyundai,Elantra MD,2016,"118,000",automatic,gas,"425,000"
Geely,Emgrand 7,2015,"200,000",manual,natural gas,"130,000"
Speranza,Tiggo,2013,"200,000",manual,gas,"170,000"
Geely,Pandino,2015,"70,000",manual,gas,"155,000"
Kia,Sportage,2020,"37,000",automatic,gas,"810,000"
Fiat,Tipo,2021,"42,000",automatic,gas,"500,000"
Nissan,Qashqai,2017,"99,000",automatic,gas,"500,000"
Ds,DS7,2021,"44,000",automatic,gas,"1,200,000"
Mercedes,E 240,2004,"134,000",automatic,gas,"570,000"
Jeep,Cherokee,2001,"360,000",automatic,gas,"200,000"
Skoda,Octavia A4,2003,0,automatic,gas,"240,000"
Opel,Astra,2013,"129,000",automatic,gas,"345,000"
Renault,Fluence,2017,"132,000",automatic,gas,"435,000"
Daewoo,Nubira 2,2004,"160,000",automatic,gas,"130,000"
Honda,Civic,1984,"225,000",automatic,gas,"55,000"
Changan,Alsvin,2022,"36,000",automatic,gas,"350,000"
Changan,CS 35,2017,"117,000",automatic,gas,"300,000"
Nissan,Sunny,2014,"110,000",automatic,gas,"300,000"
Nissan,Sentra,2021,"50,000",automatic,gas,"500,000"
Toyota,Corolla,2015,"90,000",automatic,gas,"565,000"
Kia,Cerato,2016,"200,000",automatic,gas,"500,000"
Hyundai,Verna,2008,"200,000",automatic,gas,"200,000"
Nissan,Sunny,2013,"98,000",automatic,gas,"300,000"
Peugeot,5008,2013,"180,000",automatic,gas,"475,000"
Jac,J7,2022,"29,000",automatic,gas,"480,000"
Nissan,Sunny,2022,"16,000",automatic,gas,"410,000"
Peugeot,301,2015,"210,000",manual,gas,"220,000"
Peugeot,405,2004,"300,000",manual,gas,"135,000"
Hyundai,Tucson,2021,"38,000",automatic,gas,"1,150,000"
Senova,X25,2017,"69,000",automatic,gas,"270,000"
Volkswagen,Jetta,2008,"230,000",automatic,gas,"320,000"
Hyundai,Elantra MD,2016,"60,000",automatic,gas,"500,000"
Kia,Rio,2015,"50,000",automatic,gas,"500,000"
BMW,525,2001,"115,000",automatic,gas,"280,000"
Hyundai,Elantra MD,2012,"100,000",automatic,gas,"340,000"
Jeep,Wrangler,2015,"170,000",automatic,gas,"900,000"
Peugeot,307,2007,"220,000",automatic,gas,"220,000"
Toyota,Corolla,2015,"250,000",automatic,gas,"500,000"
Senova,X25,2017,"125,000",automatic,gas,"280,000"
Toyota,Microbus,1995,0,manual,diesel,"235,000"
Toyota,Corolla,2022,"12,000",automatic,gas,"880,000"
Nissan,Sunny,2016,"155,000",automatic,gas,"295,000"
Hyundai,Atos,2010,"120,000",manual,gas,"148,000"
Speranza,A516,2007,"160,000",manual,gas,"110,000"
Chevrolet,Optra,2021,"26,500",automatic,gas,"420,000"
Fiat,Tipo,2022,"33,000",automatic,gas,"550,000"
Kia,Forte,2010,"120,000",automatic,gas,"300,000"
Hyundai,Accent RB,2012,"150,000",manual,gas,"210,000"
MG,5,2022,"14,000",automatic,gas,"500,000"
Mitsubishi,Lancer EX Shark,2014,"210,000",automatic,gas,"325,000"
Mercedes,C 180,2020,"38,000",automatic,gas,"1,780,000"
Citroën,C5 Aircross,2023,"2,000",automatic,gas,"1,300,000"
Hyundai,Excel,1995,0,manual,gas,"60,000"
Skoda,Octavia A4,2002,0,manual,gas,"160,000"
Renault,Kadjar,2022,"9,500",automatic,gas,"920,000"
MG,5,2022,"47,000",automatic,gas,"460,000"
Volkswagen,Passat,2007,"190,000",automatic,gas,"350,000"
Hyundai,Elantra CN7,2022,"44,000",automatic,gas,"600,000"
Byd,F3,2020,"50,000",manual,natural gas,"260,000"
Nissan,Sentra,2020,"70,000",automatic,gas,"480,000"
Mercedes,250,2010,"220,000",automatic,gas,"720,000"
Chevrolet,Aveo,2017,"300,000",automatic,gas,"250,000"
Skoda,Octavia A4,2005,"98,000",automatic,gas,"270,000"
Kia,Grand Cerato,2021,"83,000",automatic,gas,"670,000"
Renault,Sandero,2015,"92,000",manual,gas,"250,000"
Chevrolet,Optra,2022,"2,000",automatic,gas,"435,000"
Toyota,Corolla,2004,"325,000",manual,gas,"250,000"
Hyundai,Tucson GDI,2017,"145,000",automatic,gas,"700,000"
Land Rover,LR2,2013,"126,000",automatic,gas,"895,000"
Opel,Astra,2021,"6,000",automatic,gas,"600,000"
Hyundai,Tucson Turbo GDI || Tucson Turbo,2021,"45,000",automatic,gas,"980,000"
Jeep,Wrangler,2017,"98,000",automatic,gas,"900,000"
Opel,Astra,2000,"66,000",automatic,gas,"125,000"
Mini,Convertible,2006,"131,000",automatic,gas,"270,000"
Chrysler,Town & Country,2023,"88,008",automatic,gas,"370,000"
MG,5,2021,"60,000",automatic,gas,"430,000"
Hyundai,Elantra MD,2016,"78,000",automatic,gas,"490,000"
Opel,Corsa,2003,"118,000",manual,gas,"145,000"
Speranza,A113,2013,"107,000",manual,gas,"115,000"
Fiat,Tipo,2021,"120,000",automatic,gas,"480,000"
Kia,Shuma,2000,"300,000",manual,gas,"110,000"
Chevrolet,Lanos,2020,"40,000",manual,gas,"270,000"
Hyundai,Tucson,2021,"17,000",automatic,gas,"1,100,000"
Hyundai,Galloper,2001,"185,000",manual,diesel,"200,000"
Peugeot,405,2009,"83,000",manual,gas,"95,000"
Opel,Grandland,2019,"90,000",automatic,gas,"725,000"
Mitsubishi,Lancer EX Shark,2021,"150,000",automatic,gas,"310,000"
Kia,Cerato,2010,"130,000",automatic,gas,"370,000"
Hyundai,Matrix,2007,"200,000",manual,gas,"220,000"
Suzuki,Swift Dzire || Dzire,2021,"32,000",automatic,gas,"400,000"
Toyota,Corolla,2010,"158,000",automatic,gas,"325,000"
Nissan,Sunny,2016,"350,000",automatic,gas,"250,000"
MG,Rx5,2020,"46,000",automatic,gas,"645,000"
Skoda,Octavia A7,2018,"82,000",automatic,gas,"790,000"
Skoda,Octavia A8,2022,240,automatic,gas,"1,000,020"
Kia,Sportage,2018,"60,000",automatic,gas,"760,000"
Volkswagen,Passat,2019,"100,000",automatic,gas,"910,000"
Kia,Carens,2015,"90,000",automatic,gas,"510,000"
Opel,Insignia,2017,"102,000",automatic,gas,"600,000"
Mercedes,C 200,2019,"40,000",automatic,gas,"1,580,000"
Chevrolet,Optra,2021,"50,000",automatic,gas,"372,000"
Kia,Cerato,2015,"150,000",automatic,gas,"518,000"
Opel,Astra,2017,"140,000",automatic,gas,"450,000"
Geely,Emgrand 7,2018,"70,000",manual,gas,"165,000"
Hyundai,Verna,2008,"200,000",manual,gas,"150,000"
Nissan,Sunny,2022,"4,000",automatic,gas,"460,000"
Nissan,Sunny,2008,"208,000",automatic,gas,"240,000"
Speranza,A516,2008,"190,000",manual,gas,"120,000"
Geely,Emgrand 7,2018,"96,000",manual,gas,"225,000"
Opel,Vectra,2008,"248,000",automatic,gas,"260,000"
Kia,Cerato,2011,"153,000",automatic,gas,"355,000"
Hyundai,Elantra AD,2019,"160,000",automatic,gas,"500,000"
Volkswagen,Passat,2018,"140,000",automatic,gas,"850,000"
Chevrolet,Aveo,2020,"104,000",automatic,gas,"292,000"
Nissan,Sunny,2021,"20,000",automatic,gas,"349,000"
Skoda,Octavia A8,2022,"70,000",automatic,gas,"879,000"
Kia,Picanto,2015,"70,000",automatic,gas,"355,000"
Renault,Kadjar,2018,"75,000",automatic,gas,"560,000"
BMW,X5,2016,"74,000",automatic,gas,"1,780,000"
Skoda,Fantasia,2011,"160,000",automatic,gas,"380,000"
Mini,Coupe,2006,"131,000",automatic,gas,"270,000"
Ford,Fusion,2015,"205,000",automatic,gas,"600,000"
Chevrolet,Optra,2021,"90,000",automatic,gas,"380,000"
Mitsubishi,Lancer EX Shark,2015,"296,000",automatic,gas,"307,000"
BMW,530,2009,"156,000",automatic,gas,"650,000"
Fiat,132,1975,0,manual,gas,"35,000"
Skoda,Kodiaq,2020,"23,000",automatic,gas,"1,950,000"
Fiat,Tipo,2022,"20,000",automatic,gas,"700,000"
Hyundai,Elantra,2009,"220,000",automatic,gas,"280,000"
Mitsubishi,Lancer Puma,2008,"20,000",automatic,gas,"250,000"
Nissan,Qashqai,2019,"110,000",automatic,gas,"579,000"
Renault,Megane,2021,"65,000",automatic,gas,"595,000"
Nissan,Sunny,2022,"19,000",automatic,gas,"379,000"
Mercedes,C 180,2015,"50,000",automatic,gas,"1,450,000"
Chery,Tiggo 3,2022,"50,000",automatic,gas,"425,000"
Renault,Kadjar,2018,"160,000",automatic,gas,"565,000"
Nissan,Sunny,2022,"30,000",automatic,gas,"410,000"
Fiat,Tipo,2022,"40,000",automatic,gas,"529,000"
Mitsubishi,Lancer EX Shark,2017,"70,000",automatic,gas,"439,000"
Nissan,Sentra,2018,"90,000",automatic,gas,"371,000"
Changan,Alsvin,2022,"30,000",automatic,gas,"319,000"
Kia,Cerato,2016,"90,000",automatic,gas,"510,000"
Changan,Benni,2013,"56,000",automatic,gas,"135,000"
Volvo,244,1981,0,manual,natural gas,"61,000"
Changan,Benni,2013,"56,000",automatic,gas,"135,000"
Fiat,128,1985,0,manual,gas,"20,000"
Jac,S3,2015,"87,000",automatic,gas,"300,000"
Toyota,C-HR,2022,"23,000",automatic,gas,"940,000"
Mitsubishi,Lancer EX Shark,2014,"160,000",automatic,gas,"340,000"
Fiat,Tipo,2020,"75,000",automatic,gas,"460,000"
Nissan,Juke,2021,"24,000",automatic,gas,"720,000"
Daewoo,Nubira 2,2005,"119,000",automatic,gas,"148,000"
Ford,Kuga,2015,"120,000",automatic,gas,"600,000"
Kia,Cerato,2008,"210,000",manual,gas,"210,000"
Byd,F3,2015,"39,000",automatic,gas,"220,000"
Citroën,C3,2012,"108,000",automatic,gas,"270,000"
Nissan,Sunny,2018,"101,000",automatic,gas,"300,000"
Hyundai,Creta SU2 || Creta,2021,"56,000",automatic,gas,"660,000"
Daewoo,Lanos 2,2000,"100,000",manual,gas,"105,000"
Chery,Arrizo 5,2023,"1,500",automatic,gas,"420,000"
Citroën,C5,2021,"85,000",automatic,gas,"830,000"
Kia,Sportage,1999,0,automatic,gas,"160,000"
Hyundai,Grand Santa Fe,2013,"156,000",automatic,gas,"630,000"
Suzuki,Swift Dzire || Dzire,2022,"1,000",manual,gas,"359,000"
Chery,Arrizo 5,2023,10,manual,gas,"375,000"
Speranza,A516,2007,"186,000",manual,gas,"100,000"
Mercedes,E 300,2019,"114,000",automatic,gas,"2,400,000"
Opel,Mokka,2016,"199,600",automatic,gas,"383,000"
Fiat,127,1983,"100,000",manual,gas,"18,000"
Peugeot,405,1994,"300,000",manual,gas,"90,000"
Toyota,Corolla,2022,50,automatic,gas,"100,000"
Honda,City,2006,"297,000",automatic,gas,"200,000"
Mercedes,C 240,2003,"247,000",automatic,gas,"410,000"
Kia,Picanto,2012,"100,000",automatic,gas,"280,000"
MG,ZS,2022,"21,000",automatic,gas,"600,000"
Mitsubishi,Xpander,2022,"15,500",automatic,gas,"700,000"
Nissan,Sunny,2019,"40,000",automatic,gas,"330,000"
Hyundai,Tucson GDI,2019,"140,000",automatic,gas,"850,000"
Haval,Jolion,2022,"18,500",automatic,gas,"715,000"
Daewoo,Nubira 2,2001,"250,000",manual,gas,"147,000"
Toyota,Camry,2002,"246,398",manual,gas,"190,000"
Speranza,Tiggo,2012,"143,000",automatic,gas,"240,000"
Daihatsu,Charade,1991,0,manual,gas,"31,000"
Toyota,Corolla,2021,"40,000",automatic,gas,"820,000"
Chery,Arrizo 5,2022,"23,000",automatic,gas,"385,000"
Chery,Arrizo 5,2021,"160,000",manual,gas,"280,000"
Opel,Insignia,2016,"121,000",automatic,gas,"560,000"
Volkswagen,Tiguan,2010,"197,000",manual,gas,"375,000"
Changan,CS 35,2016,"130,000",automatic,gas,"350,000"
Chery,Tiggo 3,2010,"188,000",manual,gas,"210,000"
Speranza,Tiggo,2019,"140,000",automatic,gas,"330,000"
Jeep,Renegade,2017,"140,000",automatic,gas,"630,000"
Speranza,A516,2010,"300,000",automatic,gas,"120,000"
Chevrolet,Aveo,2010,"138,000",manual,gas,"153,000"
Lifan,320,2011,"125,000",manual,gas,"90,000"
Nissan,Sunny,2008,"140,000",automatic,gas,"225,000"
Kia,K3,2022,"2,000",automatic,gas,"895,000"
Peugeot,307,2007,"210,000",automatic,gas,"225,000"
Kia,Cerato,2015,"120,000",automatic,gas,"440,000"
Fiat,Doblo,2021,"33,000",manual,gas,"400,000"
Fiat,Uno,1993,0,manual,gas,"40,000"
Chery,Arrizo 5,2022,"40,000",automatic,gas,"390,000"
Toyota,Corolla,1999,"350,000",automatic,gas,"155,000"
Peugeot,508,2015,"111,000",automatic,gas,"510,000"
BMW,318,2002,"318,000",automatic,gas,"250,000"
Kia,Carens,2015,"185,000",automatic,gas,"440,000"
Hyundai,Elantra,2009,"131,000",automatic,gas,"360,000"
Hyundai,Tucson,2021,"29,000",automatic,gas,"999,000"
Skoda,Octavia A4,1998,"290,000",manual,gas,"185,000"
Foton,Gratour,2019,"100,000",manual,gas,"160,000"
Chery,Tiggo 3,2020,"29,000",automatic,gas,"254,000"
Skoda,Felicia,1997,"160,000",manual,gas,"80,000"
Citroën,C3,2022,"8,500",automatic,gas,"700,000"
Opel,Crossland,2022,"52,000",automatic,gas,"680,000"
Bestune,T55,2022,"25,000",automatic,gas,"650,000"
Brilliance,V6,2020,"77,000",automatic,gas,"650,000"
Lada,Granta,2019,"148,000",manual,gas,"190,000"
Opel,Astra,2015,"160,000",automatic,gas,"355,000"
Volkswagen,Jetta,2010,"170,000",automatic,gas,"280,000"
Kia,Cerato,2011,"171,000",automatic,gas,"375,000"
Renault,Logan,2022,"75,000",manual,gas,"360,000"
Mazda,3 || Mazda 3,2008,"203,000",automatic,gas,"200,000"
Speranza,A516,2009,"100,000",manual,gas,"135,000"
Chevrolet,Spark,2010,"130,000",manual,gas,"120,000"
Nissan,Sunny,2017,"107,000",automatic,gas,"278,000"
BMW,530,2019,"12,000",automatic,gas,"2,700,000"
Audi,Q3,2021,"18,000",automatic,gas,"1,650,000"
Chery,Arrizo 5,2023,300,manual,gas,"360,000"
Kia,Cerato,2015,"80,000",automatic,gas,"510,000"
Chery,Arrizo 5,2021,"80,000",manual,gas,"198,000"
Byd,F3,2016,"220,000",manual,natural gas,"165,000"
Speranza,A113,2011,"170,000",manual,gas,"90,000"
Hyundai,Verna,2008,"90,000",manual,gas,"140,000"
BMW,318,2017,"136,000",automatic,gas,"750,000"
Skoda,Felicia combi,1997,"100,000",manual,gas,"58,000"
Seat,Ateca,2020,"128,000",automatic,gas,"875,000"
Mercedes,C 180,2020,"43,700",automatic,gas,"1,600,000"
DFSK,Glory,2022,"69,999",manual,gas,"380,000"
Suzuki,Van,2008,"200,000",manual,gas,"70,000"
Speranza,A516,2010,"400,000",automatic,gas,"95,000"
Kia,Cerato,2010,"125,000",automatic,gas,"340,000"
Opel,Corsa,2023,800,automatic,gas,"800,000"
Opel,Vectra,2008,"140,000",automatic,gas,"239,000"
Chery,A5,2022,"21,000",automatic,gas,"400,000"
Chevrolet,Optra,2020,"48,000",automatic,gas,"349,000"
Daewoo,Lacetti,2003,"250,000",automatic,gas,"178,000"
Toyota,Corolla,2015,"140,000",automatic,gas,"650,000"
Toyota,Rumion,2022,"14,000",automatic,gas,"580,000"
Kia,Sportage,2021,"77,000",automatic,gas,"1,100,000"
Byd,F3,2016,"370,000",manual,gas,"230,000"
Opel,Vectra,1996,0,manual,gas,"75,000"
MG,HS,2021,"61,000",automatic,gas,"780,000"
Chevrolet,Lanos,2014,"120,000",manual,gas,"180,000"
Peugeot,301,2015,"122,000",automatic,gas,"285,000"
Kia,Picanto,2011,"125,000",automatic,gas,"240,000"
Chevrolet,Optra,2022,30,automatic,gas,"425,000"
Skoda,Fantasia,2011,"176,000",automatic,gas,"350,000"
Toyota,Corolla,2011,"183,000",automatic,gas,"350,000"
Chevrolet,Aveo,2020,"140,000",automatic,gas,"310,000"
Fiat,132,1978,0,manual,gas,"26,000"
Chevrolet,Aveo,2016,"95,000",automatic,gas,"270,000"
Kia,Cerato,2011,"142,000",automatic,gas,"330,000"
Nissan,Sunny,2020,"50,000",automatic,gas,"345,000"
Hyundai,Elantra HD,2017,"102,000",automatic,gas,"375,000"
Renault,Duster,2023,"5,600",automatic,gas,"750,000"
Peugeot,2008,2019,"100,000",automatic,gas,"500,000"
Kia,Rio,2013,"170,000",automatic,gas,"300,000"
Hyundai,Accent,2010,"130,000",manual,gas,"190,000"
Renault,Logan,2018,"200,000",manual,gas,"260,000"
Skoda,Kodiaq,2020,"120,000",automatic,gas,"1,150,000"
Renault,Sandero Step Way,2016,"130,000",automatic,gas,"310,000"
Jac,JS3,2021,"20,000",automatic,gas,"450,000"
Volkswagen,Tiguan,2009,"170,000",automatic,gas,"450,000"
Opel,Astra,2017,"85,000",automatic,gas,"450,000"
Mazda,3 || Mazda 3,2017,"200,000",automatic,gas,"450,000"
Opel,Corsa,2005,"180,000",manual,gas,"140,000"
Hyundai,Elantra AD,2020,"28,000",automatic,gas,"620,000"
Byd,L3,2016,"130,000",automatic,gas,"220,000"
Toyota,Corolla,2014,"185,000",automatic,gas,"415,000"
BMW,X1,2018,"140,000",automatic,gas,"1,050,000"
MG,HS,2022,"30,000",automatic,gas,"780,000"
MG,Rx5,2021,"55,000",automatic,gas,"700,000"
Chevrolet,Cruze,2016,"135,000",automatic,gas,"345,000"
Fiat,Regata,1989,0,manual,gas,"50,000"
Hyundai,Elantra HD,2020,"75,000",automatic,gas,"425,000"
Renault,Sandero Step Way,2013,"200,000",manual,gas,"180,000"
Ford,Focus,2012,"250,000",automatic,gas,"340,000"
Opel,Crossland,2022,"3,000",automatic,gas,"800,000"
Fiat,Shahin,2005,0,manual,gas,"45,000"
Opel,Vectra,1994,"120,000",automatic,gas,"120,000"
Chevrolet,Optra,2009,"170,000",automatic,gas,"225,000"
BMW,320,2020,"45,000",automatic,gas,"1,400,000"
